sentence1,sentence2,label
ây đức_tính vợ chồng,"chồng thói_quen tivi , đọc báo , vợ quán_xuyến",0
đứa trẻ cầm gậy bóng_chày đứng sân đỡ bóng,hình_ảnh trận bóng_chày diễn cầu_thủ vung gậy đánh_bóng,1
đàn_ông bóng_chày ngoài_trời,cầu_thủ đánh_bóng xoay đánh_bóng,1
vận_động_viên bóng_rổ thi_đấu sân,vận_động_viên bóng_rổ nam rổ,1
cầu_thủ bóng_chày nữ bát bóng cầu_thủ bóng_chày nữ chạy sân,cầu_thủ bóng_chày nữ đeo găng_tay đứng sân_nhà bắt bóng,1
"nhận_thức tầm công_tác quản_lý nhà_nước biển hải_đảo phát_triển bền_vững đất_nước như_ý_nghĩa đại_dương thế_giới ( 8 6 ) , nghị_định 25 2009 nđ cp 6 3 2009 quản_lý tổng_hợp tài_nguyên bảo_vệ môi_trường biển , hải_đảo , hình_thức tuyên_truyền đề_cập tổ_chức tuần_lễ biển hải_đảo việt_nam hưởng_ứng đại_dương thế_giới sự_kiện , quốc_tế gắn quản_lý tổng_hợp tài_nguyên bảo_vệ môi_trường biển , hải_đảo","chiến_thắng trận đầu 2 5 8 1964 mốc son lịch_sử xây_dựng , chiến_đấu , trưởng_thành hqndvn anh_hùng , mãi_mãi niềm tự_hào thế_hệ cán_bộ , chiến_sĩ hải_quân cổ_vũ , động_viên to_lớn cán_bộ , chiến_sĩ hôm_nay vững phát_huy tầm sự_nghiệp xây_dựng hải_quân cách_mạng , chính_quy , tinh_nhuệ , hiện_đại bảo_vệ vững_chắc chủ_quyền biển , đảo , thềm lục_địa thiêng_liêng tổ_quốc đô_đốc nguyễn văn_hiến nhấn_mạnh",0
phụ_nữ đánh_quả bóng tennis,khán_giả theo_dõi cú đánh_bóng nữ vận_động_viên tennis,1
vận_động_viên bóng_chày thi_đấu treen sân,bóng_chày sân,1
", phát_hiện chính_xác","lẽ , cơ_sở hoạt_động_kinh_doanh ăn_uống đêm gắn rượu_bia , nhận_diện chính_xác",1
"sưu_tập tranh 40 bé định_giá 400 000 bảng ( tương_đương 14,5 tỉ đồng ) chuyên_gia lĩnh_vực hội_họa ra_mắt","sưu_tập tranh 40 bé 11 , sống hạt norfolk , định_giá 400 000 bảng ( tương_đương 14,5 tỉ đồng ) chuyên_gia lĩnh_vực hội_họa chính_thức ra_mắt",1
"trợ_giá xăng dầu so_sánh gas , bình gas 14 kg malaysia giá 26,6 ringgit ( 177 000 đồng ) thay_vì 47,46 ringgit ( 315 000 đồng ) , nghĩa_là trung_bình bình gas 14 kg chính_phủ trợ_giá 20,86 ringgit ( 140 000 đồng ) , chiếm 56 bình gas","trợ_giá xăng dầu gas , bình gas 14 kg malaysia giá 26,6 ringgit ( 177 000 đồng ) thay_vì 47,46 ringgit ( 315 000 đồng ) , tức bình_quân bình gas 14 kg chính_phủ trợ_giá 20,86 ringgit ( 140 000 đồng ) , chiếm 56 bình gas",1
đàn_ông cầm bóng_đá đứng sân đứa trẻ,đứa tẻ quan_sát đàn_ông đá bóng,1
"vô_cùng thất_vọng , bảo_vệ tỏ cứng_rắn","tuyệt_vọng , bảo_vệ tỏ mạnh_mẽ",1
"1 12 trung_ương đảng cộng_sản trung_quốc ( đcstq ) quyết_định bắt chu vĩnh khang tội tham_ô , hủ_bại , chỉ_định ủy_ban kỷ_luật trung_ương ủy_ban tuyên_truyền trung_ương chính_thức công_bố vụ_việc","nội_dung , tờ minh kính xuất_bản hồng kông , 4 12 2013 , bí_thư ủy_ban kiểm_tra kỷ_luật trung_ương vương kỳ sơn công_bố hội_nghị chính_trị đcs trung quốc tiến_triển vụ chu vĩnh_khang",0
cầu_thủ ném bóng xoay ném bóng,cầu_thủ đánh_bóng theo_dõi động_tác cầu_thủ ném bóng,1
"khởi_đầu hoàn_hảo bằng_cấp kho giàu_có kinh_nghiệm tích_cóp đi thời sinh_viên , môi_trường , xu_hướng , độ , tâm sinh_lý trải nghiệm","chương_trình học xây_dựng cập_nhật xu_hướng quốc_tế , , sinh_viên trường lợi_thế cạnh_tranh kiến_thức chuyên_ngành vững_chắc kỹ_năng giao_tiếp ngoại_ngữ lưu_loát",0
"thống_kê tổ_chức y_tế thế_giới , việt nam 8 triệu ( chiếm xấp_xỉ 1 10 tổng_dân_số ) ngộ_độc thực_phẩm ngộ_độc thực_phẩm",", thống_kê tổ_chức y_tế thế_giới ( who ) , ta tám triệu ngộ_độc tiêu_chảy ăn_uống",0
đàn_ông đặt_chân bóng_đá chạm vợt tennis gậy,đàn_ông cầm dụng_cụ thể_thao,1
trận thi_đấu tennis nữ diễn sân,phụ_nữ vợt tennis đứng nhón chân sân,1
món sắp_xếp hợp_lý bàn tiệc thuận_tiện món,món bày_biện hợp_lý bàn tiệc,1
đàn_ông áo đen bóng_chày sân,cầu_thủ bóng_chày ném bóng,1
", dự_khán giải bóng_đá ngoại_hạng bóng_đá nổi_tiếng độ cuồng_nhiệt",", dự_khán giải bóng_đá ngoại_hạng bóng_đá nổi_tiếng cảm_nhận mê_hoặc vô_bờ_bến môn túc cầu giáo vốn sòng_phẳng kịch_tính khán_giả",1
", gd đt , sở , ngành nhà_trường thpt xây_dựng tiêu_chí chất_lượng xếp hạnh_kiểm học_sinh tuần , , học_kỳ năm_học biện_pháp nghiêm_khắc học_sinh lười_biếng , nhác nhớn ỷ_lại , hiện_trạng học_sinh nhầm lớp , chạy căn_bệnh thành_tích","học_sinh quen lối suy_nghĩ suốt học lạ giám_thị , học_sinh lập_tức tận_dụng tài_nguyên",0
"tham_gia mạng intrenet trò_chuyện thong , tin_tức , tài_liệu","giúp doanh_nghiệp đa_dạng_hoá sản_phẩm nảy_sinh suy_nghĩ phát_hiện thị_trường khám_phá thông_tin website , doanh_nghiệp tư_vấn hàng trực_tuyến mạng",0
"chính_sách bạo_hành gia_đình đà_nẵng rõ_rệt , dịp tết 100 chồng thành_phố mời tặng khen thưởng tiền 500 ngàn đồng","nỗi lo tp đà_nẵng chú_trọng chiêu hiền đãi sĩ thu_hút tài toàn thầy thợ , tiếng thừa_nhận thực_trạng lo_ngại đà_nẵng , bức_xúc",0
nam vận_động_viên tennis nhảy đánh_bóng,đàn_ông vươn đánh_quả bóng tennis,1
vận_động_viên tennis nữ cầm vợt đánh bóng sân,vận_động_viên tennis cầm vợt đỡ bóng tennis sân,1
phụ_nữ váy đỏ tennis sân,phụ_nữ vợt tennis đánh_bóng,1
thử_hỏi hai mặt_hàng hai giá,trẻ hai mặt_hàng hai giá,1
vận_động_viên tennis nữ cầm vợt thi_đấu sân,phụ_nữ áo trắng tennis sân,1
cầu_thủ chạy gôn chạy sân,đàn_ông bóng_chày ngoài_trời,1
bé áo xám tranh_chấp bóng bé áo đỏ,bé bóng_đá sân,1
"ôn thi , phụ , nấu cơm dọn_dẹp nhà_cửa","ôn thi , phụ , bữa tươm_tất dọn_dẹp vườn_tược , nhà_cửa",1
", công_thức nghề sales chuyên_nghiệp bê nguyên","bóng_chày , cầu_thủ ném bóng chạy chốt bốn suốt trận đấu đồng_nghĩa ta chạy chốt bốn trận_đấu , đánh trúng",0
cầu_thủ đánh_bóng xoay đánh_bóng,cầu_thủ đánh_bóng vung gậy đánh_bóng,1
"thể_loại thơ , truyện_ngắn , tiểu_thuyết thể_loại báo_chí , phóng_sự , phỏng_vấn , thay_thế thơ phú , câu_đối , văn_tế cổ_điển chủ_đề , nội_dung , viết đọc , đổi_mới tự_ý_thức mới_mẻ , tân thư , tân văn , thơ sách_báo tác_phẩm","tiếp nối truyền_thống , xu_thế hội_nhập phát_triển đất_nước , phụ_nữ việt nam thành_kiến thử_thách , vươn đóng_góp tích_cực hoạt_động xã_hội , duy_trì ảnh_hưởng lĩnh_vực tham_gia quản_lý nhà_nước , tham_gia xóa_đói nghèo , xây_dựng gia_đình no_ấm hạnh_phúc , tham_gia chống tệ_nạn xã_hội , tham_gia hoạt_động đối_ngoại chính_trị_gia , khoa_học nổi_tiếng , quản_lý năng_động lĩnh_vực giành nam_giới , phụ_nữ",0
"phát_hiện vụ , vụ khui , bộ_trưởng","điển_hình vụ anh_vũ đức trung , minh khai , hà_nội nhắn đầu 195 nội_dung quý_khách 30 000 đồng điện_thoại 0168505xxxx",0
cầu_thủ bóng_chày động_tác ném bóng,đàn_ông áo trắng bóng cày sân,1
"có_nghĩa_là trẻ tự_nguyện thưởng tiền ( bừa_bộn , tự_dưng sạch_sẽ )","có_nghĩa_là tiền trẻ làm_việc vặt trẻ tự_nguyện thưởng tiền ( bừa_bộn , tự_dưng sạch_sẽ )",1
cháu miền núi đề cháu đỗ trình_độ phó thủ_tướng,cháu miền núi đề cháu đỗ trình_độ phó thủ_tướng,1
"áp_dụng biện_pháp phạt tiền , phạt lao_động công_ích gia_đình tái_vi_phạm bảo_vệ_sinh môi_trường nông_thôn chăn_nuôi gia_súc thả rông , nuôi nhốt gia_súc gầm nhà_sàn , đổ thuốc bảo_vệ thực_vật thừa , vứt rác_thải bừa_bãi môi_trường cơ_sở dân ý_thức , chủ_động tự_giác thu_gom rác_thải , chuồng_trại gia_súc thả rông gia_súc","trường_hợp ô_nhiễm môi_trường xử_lí hình_sự biện_pháp xử_lí buộc di_dời khu_vực ô_nhiễm , đóng_cửa đình chỉnh hoạt_động cơ_sở ô_nhiễm môi_trường áp_dụng , áp_dụng cơ_quan_chức_năng kiên_quyết , doanh_nghiệp trây ỳ hiệu_quả",0
đàn_ông ném bóng_chày,cầu_thủ ném bóng ném bóng,1
bé bóng_đá công_viên,bé đứng bóng_đá sân,1
email gởi chuyên_trang việc_làm thanh_niên online trẻ tuyển_dụng nhân_sự ngành ngân_hàng,email gởi chuyên_trang việc_làm thanh_niên online tuyển_dụng nhân_sự ngành ngân_hàng trẻ,1
gái vợt đánh_quả bóng tennis,gái vung vợt đánh_quả bóng tennis,1
"tối đầu 9 , có_mặt quán trà chanh phố nhà_thờ , viết chứng_kiến học_sinh uống trà chanh , cắn hạt hướng_dương chém gió_mùa thu đ","trà đá nói_tục , trà chanh chửi thề , giàu_có chém gió vỉa_hè trào_lưu ưa_thích giới trẻ hiện_đại",0
"chẳng_hạn , trung_thực am_hiểu tài_chính , đương_nhiên lĩnh_vực tài_chính tham_gia ứng_tuyển","hàng_đầu vấn_đề_tài_chính , giải_pháp chi_phí",0
phụ_nữ áo xanh biển tennis sân,phụ_nữ cầm vợt đánh tennis sân,1
chẳng_thể_nào duyên hàng sở_hữu khuôn_mặt đăm_đăm,nhân_viên hàng bậc thầy nhắc_nhở khách_hàng ý_thức tiền giải_pháp,0
"omega 3 , sản_phẩm công_nhận cần_thiết phát_triển não , ngăn_ngừa rối_loạn mỡ máu bệnh tim_mạch , sản_xuất cơ_quan quản_lý thuốc thực_phẩm mỹ bắt ngừng quảng_cáo chữ phát_triển trí_não","tìm_kiếm thông_tin sản_phẩm mạng internet , sản_xuất sản_phẩm giới_thiệu nuskin pharmanex , mỹ",0
tai_nạn,tai_nạn,1
vận_động_viên tennis nữ cầm vợt sân,phụ_nữ tay_cầm váy sân tennis,1
đàn_ông đứng biên vung vợt tennis bóng,đàn_ông cầm vợt đứng biên đánh_bóng,1
gái giơ chân khung_thành,nữ thủ_môn sút bóng khung_thành,1
", lục_đục nội_bộ đh hoa sen xảy 1 2014 trường tiến_hành đại_hội cổ_đông","kiểm_tra tư_cách cổ_đông , 100 cđ đại_diện tham_dự cổ_phần chiếm 70,5 đồng_ý , đại_hội tiến_hành",0
"cơ_sở nhiệm_vụ giao , , ngành , doanh_nghiệp , địa_phương toàn tỉnh triển_khai hoạt_động thiết_thực , công_tác at vsl đ pccn",", kiểm_tra , giám_sát công_tác atvslđ cơ_sở ( doanh_nghiệp công_trường xây_dựng ) cơ_quan quản_lý nhà_nước atvslđ hạn_chế , 2 công_trường xây_dựng kiểm_tra chấp_hành quy_định atvslđ",0
đàn_ông sân_cỏ tennis,tennis sân,1
nữ cầu_thủ áo xanh di_chuyển cạnh nữ cầu_thủ áo trắng,gái bóng_đá sân,1
bé luyện_tập bóng_chày sân,bé giơ gậy quan_sát bóng_chày,1
"nguy_hiểm thế_lực thù_địch bọn phản_động tận_dụng website , blog , mạng xã_hội , tăng_cường chống_phá , tuyên_truyền , xuyên_tạc chủ_trương chính_sách đảng , điều_hành quản_lý nhà_nước , triệt_để lợi_dụng thời_sự , nhạy_cảm , dư_luận , giải_quyết , lôi_kéo , kích_động nhân_dân biểu_tình , tụ_tập đông chống_đối chính_quyền",", internet việt nam tỏ bức_xúc mạng xã_hội trực_tuyến lợi_dụng thông_tin nội_dung tuyên_truyền chống_phá nhà_nước việt_nam , nói_xấu chế_độ , vi_phạm_quy_định pháp",0
cầu_thủ bóng_chày cầm bóng thi_đấu sân,đàn_ông áo trắng bóng_chày sân,1
"song , sống đóng lũy trọn_vẹn , viên mãn đất_nước , tuổi_trẻ hành_trang cần_thiết tiến tương_lai , đảm_đương vai_trò , sứ_mệnh thiêng_liêng","tuổi_trẻ đất_nước hôm_nay , , anh_chị tuổi_tác có_mặt giảng_đường đại_học , cao_đẳng , hoạt_động tâm_huyết cống_hiến sức trẻ đam_mê , hăng_say , nhiệt_tình bốc_lửa",0
cầu_thủ bắt bóng khuỵu gối sân,đàn_ông đứng lưới,1
", con_gái",", con_gái tròn năm_tuổi",1
đàn_ông phụ_nữ cầm vợt đứng sân tennis,khán_giả theo_dõi trận thi_đấu tennis đôi nam_nữ,1
cầu_thủ bắt bóng bắt bóng cầu_thủ chạy gôn chạy sân,đàn_ông bóng_chày sân,1
đàn_ông bay đánh_quả bóng tennis,nam vận_động_viên tennis vung vợt đánh_bóng,1
đàn_ông ngã bóng_đá,nam thủ_môn bay bắt bóng sân,1
phụ_nữ vung vợ tennis đánh_bóng sân,phụ_nữ vung vợ tennis đánh_bóng sân,1
thông_tin báo_chí 75 đấu_tranh bảo_vệ chủ_quyền hoàng_sa trung quốc rút giàn khoan hải_dương 981 27 tàu kiểm_ngư đâm va hư_hỏng 15 kiểm_ngư_viên bị_thương tàu trung quốc tấn_công,tin_tức báo_chí 75 quyết_tâm bảo_vệ chủ_quyền hoàng_sa trung quốc giàn khoan hải_dương 981 lãnh_thổ 27 tàu kiểm_ngư đâm va hư_hỏng 15 kiểm_ngư_viên bị_thương tàu trung quốc tấn_công,1
thủ_tướng phát_triển ứng_dụng công_nghệ thông_tin sản_xuất kinh_doanh quản_lý hướng mục_tiêu nâng toàn_diện năng_lực cạnh_tranh quốc_gia coi đường ngắn việt nam tiến kịp phát_triển tiến thời_đại,phát_triển ứng_dụng công_nghệ thông_tin sản_xuất kinh_doanh quản_lý hướng mục_tiêu nâng toàn_diện năng_lực cạnh_tranh quốc_gia coi đường ngắn việt nam tiến kịp phát_triển tiến kịp_thời_đại,1
trận thi_đấu bóng_chày nam diễn sân,"bóng bay cầu_thủ bắt bóng , cầu_thủ đánh_bóng trọng_tài",1
đàn_ông áo trắng tennis sân,vận_động_viên tennis nam thi_đấu đông_đảo khán_giả,1
cầu_thủ bóng_chày thi_đấu sân,đàn_ông bóng_chày sân,1
hai đứa trẻ đánh_đôi tennis sân,hai tennis sân,1
", cố_gắng phát tiếng nhai tóp_tép",", phát tiếng nhai tóp_tép",1
"thông_thường , công_ty tìm_kiếm nhân_viên hàng công_ty đa quốc_gia , công_ty kinh_doanh ngành viễn_thông thông_tin liên_lạc , ngành bảo_hiểm tài_chính","nhân_viên hàng siêu_hạng doanh_nghiệp , hàng hưởng hoa_hồng , doanh_nhân , chủ doanh_nghiệp , hành_nghề tự_do , đại_lý , môi_giới thành_viên ban quản_trị công_ty",0
"ts nguyễn đình cung , hạn_chế kinh_tế nguyên_nhân quản_lý yếu_kém","ts nguyễn đình cung , hạn_chế kinh_tế nguyên_nhân quản_lý yếu_kém giải_thích quanh_co xác_đáng nguyên_nhân chậm cải_cách",1
điện_thoại thông_minh căn_bệnh,lạm_dụng điện_thoại thông_minh căn_bệnh,1
nam vận_động_viên tennis đánh_bóng,đàn_ông ngửa phát_bóng sân tennis,1
"xã_hội phát_triển , nhu_cầu cuộc_sống bắt_buộc kỹ_năng làm_việc thích_nghi giúp dễ_dàng kết_quả công_việc quan_hệ xã_hội","lập danh_sách công_việc , ưu_tiên_hóa công_việc nỗ_lực công_việc ( 1 10 , 1 nỗ_lực ) hiệu_quả dự_kiến ( 1 10 , 10 hiệu_quả )",0
đàn_ông đứng khuỵu gối bắt_cái đĩa ôm bóng,đàn_ông đứng bãi biển bóng,1
hai nam vận_động_viên tennis thi_đấu sân,hai đàn_ông tennis sân,1
thuốc lợi_tiểu cơ_thể,thuốc lợi_tiểu nâng nước_tiểu cơ_thể đối_mặt nguy_cơ,1
bóng_chày hẻm,thanh_niên trẻ áo trắng vung vợt bóng_chày,1
nam vận_động_viên tennis đánh_bóng,đàn_ông đánh_quả bóng tennis,1
phụ_nữ vợt tennis bãi cát,phụ_nữ mặc bikini cầm vợt đánh_bóng bãi cát,1
vận_động_viên tennis nam đứng sân đỡ bóng,vận_động_viên tennis cầm vợt thi_đấu sân,1
", phụ_trách chi_nhánh bán_lẻ kênh phát_triển kinh_doanh khu_vực năng_động , bao_gồm thị_trường nổi , jeff hansberry hà_nội thành_phố truyền_thống uống cà_phê lâu_đời , gọi di_sản uống cà_phê","1 , starbucks cốc cafe siêu đẹp màu xanh , hệ_thống cửa_hàng cực_kỳ long_lanh chụp ảnh du_học_sinh phim , starbucks xuất_hiện_tại sài_gòn , giới trẻ thừa thỏa_sự tò_mò starbucks",0
đứa trẻ cầm vợt tennis sân,đứa trẻ đứng sân cầm vợt tennis đánh_bóng,1
nữ vận_động_viên tennis vung vợt đánh_bóng,nữ vận_động_viên tennis đánh bóng đối_thủ,1
đàn_ông xoay đánh_quả bóng tennis,đàn_ông đánh_quả bóng tennis,1
nữ vận_động_viên tennis nghiêng đánh_bóng,nữ vận_động_viên tennis nhảy đánh_bóng,1
"thủ_tướng quyết_định nhật cung_cấp 6 tàu tuần_tra , giúp tăng_cường năng_lực thực_thi pháp_luật biển việt_nam , mong_muốn , giúp_đỡ nhật_bản","nhật nhận_thức nâng năng_lực thực_thi luật biển việt nam cấp_thiết , nhật xem_xét tiến_hành đào_tạo nhân_lực lĩnh_vực song_song cung_cấp tàu tuần_tra việt_nam",0
", tvis triển_khai rộng_rãi ngành , cơ_quan chính_phủ , ngoại_giao , cổng thông_tin chính_phủ ( chinhphu vn ) , cổng quốc_hội , cổng ngành tỉnh_thành",", tvis triển_khai rộng_rãi hàng_loạt ngành , cơ_quan chính_phủ , ngoại_giao , cổng thông_tin chính_phủ ( chinhphu vn ) , cổng quốc_hội , cổng ngành tỉnh_thành",1
đàn_ông giơ gậy quan_sát đường_bay bóng_chày,hai đàn_ông bóng_chày công_viên,1
nam vận_động_viên tennis vợt đỡ bóng,nam vận_động_viên tennis vợt quan_sát bóng,1
"bác_sĩ công , bệnh 2 phái , nam nữ",xơ_gan bệnh việt_nam thế_giới,0
đàn_ông áo cam tiến bóng tennis,bé mũ đỏ phát bóng tennis,1
đàn_ông áo đen bóng_chày sân,cầu_thủ bóng_chày đeo găng_tay ném bóng,1
địa_chấn nổ 7 9 hai đại_gia vay thế_chấp mỹ fannie mae freddie mac quốc hữu_hóa,"công_ty tài_chính , ngân_hàng_đầu_tư phát_hành trái_phiếu cơ_sở chứng_từ vay thế_chấp ngân_hàng mỹ ngân_hàng thế_giới tài_sản tích_trữ uy_tín ngân_hàng phát_hành",0
"cầu_thủ bóng_chày đứng sân_nhà vung gậy đỡ bóng ,",cầu_thủ bóng_chày cầm gậy thi_đấu sân,1
bé vợt đỡ bóng tennis,bé tennis cạnh lưới,1
"bọn tội_phạm công_nghệ_cao lợi_dụng website tán phát virus thu_thập thông_tin đăng_nhập , điện_thoại , quan_hệ , email , mã_số tài_khoản tín_dụng ngân_hàng , mật_khẩu lừa_đảo chiếm_đoạt tiền , tống_tiền",", internet việt nam tỏ bức_xúc mạng xã_hội trực_tuyến lợi_dụng thông_tin nội_dung tuyên_truyền chống_phá nhà_nước việt_nam , nói_xấu chế_độ , vi_phạm_quy_định pháp",1
"nhắc đà_nẵng người_ta chương_trình 5 , 3 , thương_hiệu bản_sắc đà_nẵng suốt","nỗi lo tp đà_nẵng chú_trọng chiêu hiền đãi sĩ thu_hút tài toàn thầy thợ , tiếng thừa_nhận thực_trạng lo_ngại đà_nẵng , bức_xúc",0
hành_động trung quốc kế_hoạch chặn nỗ_lực mỹ đồng_minh căng_thẳng biển đông diễn_đàn an_ninh khu_vực arf myanmar,hành_động trung quốc kế_hoạch ngăn_cản nỗ_lực mỹ đồng_minh tranh_chấp biển đông diễn_đàn an_ninh khu_vực arf myanmar,1
bé sân_chơi bóng_chày,bé áo 12 cầm găng_tay bóng_chày,1
phụ_nữ vung vợt đánh_bóng tennis,phụ_nữ cầm vợt tennis tập_luyện tennis sân,1
hình_ảnh trận đấu bóng_chày diễn,trận đấu bóng_chày diễn cầu_thủ ném bóng,1
đàn_ông đá bóng sân trời nắng,đàn_ông áo đen sút bóng sân_cỏ,1
đứa trẻ cầm gậy bóng_chày bóng_chày đứng dáng,đứa trẻ đội mũ cầm gậy bóng_chày dáng chụp hình,1
yêu hải,cảm_nhận yêu hải,1
vô_địch quốc_gia bốn clb ajax barcelona az alkmaar bayern munichs giành champions league 1995 chung_kết giải_đấu 2010,giành chức vô_địch quốc_gia bốn clb ajax barcelona az alkmaar bayern munichs giành champions league 1995 đi chung_kết giải_đấu 2010,1
", cụ trù bí_quyết sống bữa , thương_yêu giúp_đỡ , sống thoải_mái tâm_hồn thanh_thản",", cụ trù bí_quyết sống giản_đơn , bữa , thương_yêu giúp_đỡ , sống thoải_mái tâm_hồn thanh_thản",1
đàn_ông quần ngắn cú đỡ bóng vợt tennis,đàn_ông áo xanh biển tennis sân,1
hai đánh bóng màu xanh vợt,gái tennis sân,1
cầu_thủ bắt bóng trọng_tài theo_dõi cú đánh_bóng cầu_thủ đánh_bóng,khán_giả theo_dõi động_tác đánh_bóng cầu_thủ đánh_bóng,1
hình_ảnh vận_động_viên tennis phát_bóng,vận_động_viên tennis phát_bóng,1
phụ_nữ áo tím cầm vợt tennis tay_trái cầm bóng tennis,hai phụ_nữ cầm vợt tennis đứng sân,1
phụ_nữ đánh_quả bóng tennis,nữ vận_động_viên tennis vung vợt đánh_bóng,1
"hiền , mềm_lòng dụ lắm",", hiền lắm , nhẹ_dạ lắm , dụ lắm",1
phong_độ vidal trận world_cup vô_cùng ấn_tượng thuyết_phục van gaal đội_hình,phong_độ vidal trận world_cup ấn_tượng thuyết_phục van gaal old trafford,1
bóng tennis vợt sân,bóng mép vợt tennis màu cam,1
nữ cầu_thủ luyện_tập bóng_đá sân,nữ cầu_thủ chạy tranh_chấp bóng sân,1
"4 chuyển_nhượng 24 triệu cổ_phiếu hsg công_ty tam hỷ , 3 triệu_chứng_khoán chủ_tịch tập_đoàn hoa sen lê phước vũ chuyển_tiếp","4 chuyển_nhượng 24 triệu cổ_phiếu hsg công_ty tam hỷ , chủ_tịch tập_đoàn hoa sen lê phước vũ chuyển_tiếp 3 triệu_chứng_khoán",1
hai đội bóng trẻ thi_đấu sân trời nắng,bóng_đá sân trời nắng,1
cầu_thủ bóng_chày đứng lồng bảo_vệ,cầu_thủ bóng_chày đứng cạnh,1
"giai_đoạn , bé vẽ liên_tục ngừng_nghỉ , lịch học thích_hợp học lớp","giai_đoạn , bé vẽ liên_tục hàng trời , kieron nghỉ_ngơi tuần , lịch học thích_hợp học lớp",1
cầu_thủ bóng_chày bóng_chày sân,cầy thủ bóng_chày thi_đấu đám đông quan_sát,1
hoành_hành phá đổ hạnh_phúc gia_đình,"vợ , hạnh_phúc đơn_giản bữa cơm gia_đình đầy_đủ thành_viên tuần gia_đình sum_họp",0
cầu_thủ hai đội tranh_chấp bóng,trận thi_đấu bóng_đá nam diễn sân,1
", năm_học 2007 2008 77,7 học_sinh tốt_nghiệp thcs chuyển_tiếp lên_lớp 10 2010 2011 tỷ_lệ 84,1","thống_kê gd đt hội_nghị triển_khai nhiệm_vụ giáo_dục chuyên_nghiệp năm_học 2014 2015 diễn 30 7 4 , quy_mô học_sinh hệ tccn xu_hướng",0
đàn_ông cầm vợt bóng_bàn đỡ bóng,đàn_ông cầm vợt bóng_bàn luyện_tập,1
đàn_ông bóng_chày ngoài_trời,cầu_thủ bắt bóng bắt bóng găng_tay,1
đàn_ông bóng_chày sân,đàn_ông đánh_quả bóng_chày,1
"bảo , đấy duyên hàng","dĩ_nhiên , vị cfo đồng_ý xem_xét tính_toán chi_tiết đầu_tư lãi hàng đề_xuất",0
thủ_môn sút bóng khung_thành,trận thi_đấu bóng_đá nam diễn sân,1
đàn_ông vung gậy đánh_quả bóng_chày,hai đàn_ông áo đỏ theo_dõi đánh_bóng đàn_ông áo trắng,1
"người_ta nguyên_nhân hiện_trạng gia_công nông_nghiệp việt_nam , đồng thuận nguyên_nhân","nguyên_nhân đầu_tư nông_nghiệp dần , tương_xứng đóng_góp nông_nghiệp kinh_tế",0
vận_động_viên tennis cầm vợt nhảy đỡ bóng,phụ_nữ cầm vợt tennis đỡ bóng,1
cầu_thủ bóng_chày khán_giả theo_dõi cú ném bóng cầu_thủ ném bóng,đàn_ông động_tác ném bóng_chày,1
bí_mật động_trời tác_giả wikipedia,phát_hiện tác_giả wikipedia,1
voi đứng thảm thực_vật hàng_rào,voi cạnh hàng_rào dây,1
nam vận_động_viên tennis cầm vợt quan_sát đường_bay bóng,đàn_ông giơ cầm vợt đứng sân tennis,1
nam vận_động_viên tennis cầm vợt tung bóng,ảnh trắng_đen đàn_ông tennis,1
nam vận_động_viên tennis vung vợt phát_bóng,nam vận_động_viên tennis phát_bóng,1
bé bóng_chày vườn,bé bóng_chày đất giơ gậy,1
hai cầu_thủ bóng_đá chạy bóng sân_cỏ,hai cầu_thủ bóng_đá thi_đấu bóng_đá sân_cỏ,1
đàn_ông vung gậy đánh_quả bóng_chày,đàn_ông xoay đánh_quả bóng_chày,1
"phát_triển mạnh_mẽ ngành_nghề nông_thôn dựa lợi_thế so_sánh thực_lực miền , thôn xã , dân_số sinh_kế phụ_thuộc nghề nông","ngành_nghề ưu_thế phát_triển ( phát_triển doanh_nghiệp công_nghiệp chế_biến , ngành công_nghiệp sản_xuất vật_tư , thiết_bị nông_nghiệp hàng tiêu_dùng nông_thôn ) hình_thành đô_thị nông_thôn",0
nữ cầu_thủ bóng_đá sân_cỏ trời mưa,nữ cầu_thủ tranh_chấp bóng trời mưa,1
luyện_tập tennis nghiệp_dư ban_ngày,vận_động_viên tennis luyện_tập sân ban_ngày,1
đàn_ông áo trắng tennis sân,vận_động_viên tennis nam cầm vợt chạy bóng,1
đàn_ông sút bóng chân,cầu_thủ sút bóng chân,1
trận thi_đấu bóng_chày nam diễn sân,khán_giả theo_dõi trận thi_đấu bóng_chày nam,1
đàn_ông cầm gậy bóng_chày đánh_bóng sân,đàn_ông áo tím cầm gậy bóng_chày thi_đấu sân,1
nữ vận_động_viên tennis xoay đánh_bóng,nữ vận_động_viên tennis vung vợt đánh_bóng,1
phụ_nữ trẻ cỏ ném_đĩa chó,phụ_nữ mặc áo sơ_mi bó sát quần_jean dắt chó đi dạo,1
tỏi tía sống tác_dụng thành allicin men tép tỏi,tỏi tía sống hiệu_quả chất allicin tác_dụng thành allicin tác_dụng men tép tỏi,1
cầu_thủ theo_dõi cú đánh_bóng đồng_đội,đàn_ông vung vợt đánh_quả bóng_chày,1
bé đứng phòng bóng_chày găng_tay,bé chơi_đùa bóng_chày găng_tay bố,1
